,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent
58,Bulgaria,1296533,,38210.0,,1255458,,2865,26,189424.0,5583.0,11044361.0,1613588.0,6844597.0,Europe
59,Morocco,1272418,,16296.0,,1256051,,71,3,33686.0,431.0,12975749.0,343521.0,37772756.0,Africa
60,Croatia,1268666,,17950.0,,1250175,,541,10,312534.0,4422.0,5503682.0,1355825.0,4059286.0,Europe
61,Guatemala,1235082,,20163.0,,1213683,,1236,5,66459.0,1085.0,6900044.0,371289.0,18584039.0,North America
62,Lebanon,1231303,,10821.0,,1087587,,132895,74,184193.0,1619.0,4795578.0,717380.0,6684849.0,Asia
63,Costa Rica,1199055,,9214.0,,860711,,329130,52,231373.0,1778.0,4659757.0,899158.0,5182354.0,North America
64,Bolivia,1192514,156.0,22363.0,,1156358,467,13793,220,99437.0,1865.0,2705422.0,225590.0,11992656.0,South America
65,Tunisia,1150793,,29330.0,,N/A,N/A,N/A,44,95528.0,2435.0,5001397.0,415169.0,12046656.0,Africa
66,Cuba,1112567,,8530.0,,1103957,,80,2,98408.0,754.0,14314851.0,1266168.0,11305652.0,North America
67,Ecuador,1056578,,36008.0,,1015999,,4571,759,58331.0,1988.0,3082403.0,170173.0,18113361.0,South America
68,UAE,1051457,,2348.0,,1034731,,14378,,104293.0,233.0,199126406.0,19751106.0,10081785.0,Asia
69,Uruguay,1034046,,7617.0,,1025995,,434,18,295778.0,2179.0,6114822.0,1749083.0,3496016.0,South America
70,Panama,1031014,,8603.0,,1021886,,525,16,231847.0,1935.0,7522110.0,1691516.0,4446964.0,North America
71,Mongolia,1007896,,2179.0,,1005707,2,10,192,298364.0,645.0,4030048.0,1193000.0,3378078.0,Asia
72,Nepal,1001139,1.0,12020.0,,989111,4,8,,33122.0,398.0,6010940.0,198869.0,30225582.0,Asia
73,Belarus,994037,,7118.0,,985592,,1327,,105381.0,755.0,13646641.0,1446722.0,9432800.0,Europe
74,Latvia,975928,25.0,6237.0,2.0,969343,32,348,13,527860.0,3373.0,7863922.0,4253443.0,1848837.0,Europe
75,Saudi Arabia,829185,48.0,9611.0,3.0,816538,51,3036,41,23133.0,268.0,45130369.0,1259045.0,35844909.0,Asia
76,Azerbaijan,828477,28.0,10114.0,3.0,818209,26,154,,80433.0,982.0,7519926.0,730075.0,10300205.0,Asia
77,Paraguay,807453,,19849.0,,N/A,N/A,N/A,7,110522.0,2717.0,2657506.0,363751.0,7305843.0,South America
78,Bahrain,705830,,1548.0,,701947,,2335,1,395648.0,868.0,10730009.0,6014636.0,1783983.0,Asia
79,Sri Lanka,672025,,16830.0,,655193,,2,,31147.0,780.0,6486117.0,300619.0,21575842.0,Asia
80,Kuwait,662858,,2570.0,,660237,,51,,151326.0,587.0,8455743.0,1930391.0,4380326.0,Asia
81,Dominican Republic,660533,,4384.0,,644785,,11364,4,59742.0,397.0,3740928.0,338350.0,11056370.0,North America
82,Cyprus,647031,,1297.0,,641366,,4368,60,528885.0,1060.0,9640118.0,7879860.0,1223387.0,Asia
83,Myanmar,633905,,19490.0,,614375,,40,,11478.0,353.0,10031624.0,181643.0,55227143.0,Asia
84,Palestine,621008,,5404.0,,615445,,159,17,116173.0,1011.0,3078533.0,575907.0,5345541.0,Asia
85,Estonia,614848,,2934.0,,524990,,86924,1,465121.0,2220.0,3671717.0,2777585.0,1321910.0,Europe
86,Moldova,603750,,11974.0,,504142,,87634,49,150442.0,2984.0,3216305.0,801437.0,4013171.0,Europe
87,Venezuela,551954,,5852.0,,545768,,334,36,18859.0,200.0,3359014.0,114771.0,29266991.0,South America
88,Egypt,515698,,24613.0,,442182,,48903,122,4858.0,232.0,3693367.0,34792.0,106156692.0,Africa
89,Libya,507171,,6437.0,,500733,,1,,72034.0,914.0,2483538.0,352738.0,7040745.0,Africa
90,China,503302,,5272.0,,379053,,118977,N/A,347.0,4.0,160000000.0,110461.0,1448471400.0,Asia
91,Ethiopia,499903,,7572.0,,487185,,5146,,4138.0,63.0,5483106.0,45385.0,120812698.0,Africa
92,Qatar,493724,,686.0,,492695,,343,21,165684.0,230.0,4065369.0,1364257.0,2979915.0,Asia
93,Réunion,486588,,921.0,,418572,,67095,10,535854.0,1014.0,1603660.0,1766027.0,908061.0,Africa
94,Honduras,471557,,11109.0,,N/A,N/A,N/A,105,46135.0,1087.0,1626616.0,159141.0,10221247.0,North America
95,Armenia,446819,,8721.0,,435162,,2936,,150345.0,2934.0,3242901.0,1091164.0,2971966.0,Asia
96,Bosnia and Herzegovina,401575,,16278.0,,379084,,6213,,123588.0,5010.0,1884721.0,580036.0,3249317.0,Europe
97,Oman,399449,,4628.0,,384669,,10152,2,75028.0,869.0,25000000.0,4695724.0,5323993.0,Asia
98,North Macedonia,346852,,9662.0,,337068,,122,,166651.0,4642.0,2226216.0,1069626.0,2081304.0,Europe
99,Kenya,342900,,5688.0,,337183,,29,1,6100.0,101.0,3967062.0,70569.0,56215221.0,Africa
100,Zambia,342831,,4055.0,,338289,,487,,17608.0,208.0,3923997.0,201538.0,19470234.0,Africa
101,Albania,334345,,3596.0,,329101,,1648,,116644.0,1255.0,1941032.0,677173.0,2866374.0,Europe
102,Botswana,329662,,2801.0,,326868,,-7,1,135043.0,1147.0,2026898.0,830300.0,2441162.0,Africa
103,Luxembourg,297757,,1133.0,,288991,,7633,,463528.0,1764.0,4412567.0,6869188.0,642371.0,Europe
104,Montenegro,287891,,2800.0,,284287,,804,6,458462.0,4459.0,2713150.0,4320647.0,627950.0,Europe
105,Brunei ,277992,,225.0,,243601,,34166,3,624097.0,505.0,717784.0,1611437.0,445431.0,Asia
106,Algeria,271432,,6881.0,,182788,,81763,,5985.0,152.0,230861.0,5091.0,45350148.0,Africa
107,Nigeria,266463,,3155.0,,259850,,3458,11,1229.0,15.0,5708974.0,26339.0,216746934.0,Africa
108,Zimbabwe,263921,,5663.0,,257205,,1053,12,17214.0,369.0,2525756.0,164744.0,15331428.0,Africa
109,Uzbekistan,250932,,1637.0,,241486,,7809,23,7298.0,48.0,1377915.0,40077.0,34382084.0,Asia
110,Mozambique,233098,,2242.0,,228805,,2051,11,7044.0,68.0,1371127.0,41437.0,33089461.0,Africa
111,Martinique,229807,,1098.0,,N/A,N/A,N/A,12,614314.0,2935.0,828928.0,2215870.0,374087.0,North America
112,Laos,218014,,758.0,,N/A,N/A,N/A,,29142.0,101.0,1233207.0,164845.0,7481023.0,Asia
113,Afghanistan,209230,11.0,7896.0,,190555,1,10779,45,5134.0,194.0,1198562.0,29409.0,40754388.0,Asia
114,Iceland,208999,,229.0,,N/A,N/A,N/A,2,605105.0,663.0,1996384.0,5780036.0,345393.0,Europe
115,Kyrgyzstan,206633,,2991.0,,196406,,7236,131,30711.0,445.0,1907195.0,283460.0,6728271.0,Asia
116,Guadeloupe,201852,,1010.0,,N/A,N/A,N/A,19,504890.0,2526.0,938039.0,2346306.0,399794.0,North America
117,El Salvador,201785,,4230.0,,179410,,18145,8,30805.0,646.0,2610114.0,398467.0,6550389.0,North America
118,Trinidad and Tobago,188737,,4339.0,,184363,,35,8,134181.0,3085.0,895520.0,636663.0,1406585.0,North America
119,Maldives,185729,,311.0,,163687,,21731,25,343316.0,575.0,2213831.0,4092223.0,540985.0,Asia
120,Ghana,171167,,1462.0,,169696,,9,2,5284.0,45.0,2529887.0,78094.0,32395450.0,Africa
121,Namibia,171121,,4090.0,,166689,,342,,64969.0,1553.0,1062663.0,403460.0,2633874.0,Africa
122,Uganda,170478,,3630.0,,100431,,66417,3,3520.0,75.0,3012408.0,62198.0,48432863.0,Africa
123,Jamaica,154065,,3500.0,,102393,,48172,,51611.0,1172.0,1183986.0,396633.0,2985094.0,North America
124,Cambodia,138714,1.0,3056.0,,135650,1,8,,8079.0,178.0,3091420.0,180062.0,17168639.0,Asia
125,Rwanda,133170,,1468.0,,131634,,68,,9792.0,108.0,5959042.0,438150.0,13600464.0,Africa
126,Cameroon,124328,,1965.0,,122333,,30,13,4454.0,70.0,1751774.0,62762.0,27911548.0,Africa
127,Malta,117338,,827.0,,115923,,588,4,264255.0,1862.0,2111209.0,4754622.0,444033.0,Europe
128,Barbados,106645,,575.0,,106057,,13,,370266.0,1996.0,794426.0,2758203.0,288023.0,North America
129,Angola,105205,,1931.0,,103250,,24,,3004.0,55.0,1499795.0,42818.0,35027343.0,Africa
130,Channel Islands,101320,,227.0,,100975,,118,,574171.0,1286.0,1252808.0,7099551.0,176463.0,Europe
131,French Guiana,98041,,420.0,,11254,,86367,6,312065.0,1337.0,651257.0,2072951.0,314169.0,South America
132,DRC,95646,,1464.0,,84282,,9900,,1004.0,15.0,846704.0,8890.0,95240792.0,Africa
133,Senegal,88917,,1971.0,,86938,,8,,5037.0,112.0,1146543.0,64946.0,17653671.0,Africa
134,Malawi,88681,,2686.0,,85542,,453,67,4394.0,133.0,624784.0,30959.0,20180839.0,Africa
135,Ivory Coast,88138,,834.0,,87262,,42,,3177.0,30.0,1677538.0,60469.0,27742298.0,Africa
136,Suriname,82227,,1400.0,,N/A,N/A,N/A,,137773.0,2346.0,240907.0,403644.0,596831.0,South America
137,New Caledonia,79871,,314.0,,79557,,0,9,274551.0,1079.0,98964.0,340182.0,290915.0,Australia/Oceania
138,French Polynesia,77957,,649.0,,N/A,N/A,N/A,7,274338.0,2284.0,,,284164.0,Australia/Oceania
139,Eswatini,74199,,1423.0,,72726,,50,,62625.0,1201.0,1048704.0,885119.0,1184817.0,Africa
140,Guyana,73062,,1298.0,,71742,,22,,92012.0,1635.0,720953.0,907950.0,794045.0,South America
141,Belize,70740,,688.0,,70036,,16,6,171620.0,1669.0,576016.0,1397453.0,412190.0,North America
142,Fiji,68876,,883.0,,66831,,1162,,75732.0,971.0,668445.0,734986.0,909466.0,Australia/Oceania
143,Madagascar,67852,,1421.0,,66427,,4,,2325.0,49.0,525141.0,17998.0,29178077.0,Africa
144,Sudan,63787,,5011.0,,58438,,338,,1387.0,109.0,562941.0,12240.0,45992020.0,Africa
145,Mauritania,63667,,997.0,,62439,,231,,12988.0,203.0,1009957.0,206030.0,4901981.0,Africa
146,Cabo Verde,63240,,413.0,,62770,,57,23,111401.0,728.0,401622.0,707482.0,567678.0,Africa
147,Bhutan,62615,,21.0,,61564,,1030,,79467.0,27.0,2303734.0,2923739.0,787941.0,Asia
148,Syria,57463,,3164.0,,54299,,0,,2967.0,163.0,146269.0,7553.0,19364809.0,Asia
149,Burundi,53609,,38.0,,53569,,2,,4246.0,3.0,345742.0,27386.0,12624840.0,Africa
150,Seychelles,50665,,172.0,,50440,,53,,509575.0,1730.0,,,99426.0,Africa
151,Gabon,48981,,306.0,,48674,,1,,21008.0,131.0,1621909.0,695641.0,2331533.0,Africa
152,Andorra,47866,,165.0,,47563,,138,14,617921.0,2130.0,249838.0,3225256.0,77463.0,Europe
153,Papua New Guinea,46792,,670.0,,43982,,2140,7,5036.0,72.0,249149.0,26813.0,9292169.0,Australia/Oceania
154,Curaçao,45986,,295.0,,44720,,971,3,277812.0,1782.0,496693.0,3000640.0,165529.0,North America
155,Aruba,44026,,236.0,,42438,,1352,2,409129.0,2193.0,177885.0,1653068.0,107609.0,North America
156,Tanzania,42823,,846.0,,N/A,N/A,N/A,7,677.0,13.0,,,63298550.0,Africa
157,Mayotte,42004,,188.0,,N/A,N/A,N/A,,146734.0,657.0,176919.0,618038.0,286259.0,Africa
158,Mauritius,41698,,1043.0,,39991,,664,,32711.0,818.0,358675.0,281374.0,1274727.0,Africa
159,Togo,39367,,290.0,,39072,,5,,4535.0,33.0,807880.0,93065.0,8680837.0,Africa
160,Guinea,38267,,467.0,,37757,,43,8,2760.0,34.0,660107.0,47607.0,13865691.0,Africa
161,Isle of Man,38008,,116.0,,N/A,N/A,N/A,,443335.0,1353.0,150753.0,1758422.0,85732.0,Europe
162,Bahamas,37491,,833.0,,36366,,292,1,93607.0,2080.0,257839.0,643767.0,400516.0,North America
163,Lesotho,34790,,723.0,,25980,,8087,,15990.0,332.0,431221.0,198199.0,2175699.0,Africa
164,Faeroe Islands,34658,,28.0,,N/A,N/A,N/A,5,703959.0,569.0,778000.0,15802409.0,49233.0,Europe
165,Haiti,34143,,860.0,,33044,,239,,2923.0,74.0,132422.0,11337.0,11680283.0,North America
166,Mali,32977,,743.0,,32046,,188,,1536.0,35.0,794481.0,36998.0,21473764.0,Africa
167,Cayman Islands,31472,,37.0,,8553,,22882,1,467797.0,550.0,222773.0,3311280.0,67277.0,North America
168,Saint Lucia,29882,,409.0,,29095,,378,,161426.0,2209.0,210983.0,1139752.0,185113.0,North America
169,Benin,27990,,163.0,,27825,,2,,2189.0,13.0,604310.0,47268.0,12784726.0,Africa
170,Somalia,27324,,1361.0,,13182,,12781,,1622.0,81.0,400466.0,23778.0,16841795.0,Africa
171,Congo,25375,,386.0,,24006,,983,,4377.0,67.0,347815.0,59991.0,5797805.0,Africa
172,Solomon Islands,24575,,153.0,,N/A,N/A,N/A,1,34077.0,212.0,,,721159.0,Australia/Oceania
173,Micronesia,23671,,60.0,,N/A,N/A,N/A,1,201474.0,511.0,54967.0,467848.0,117489.0,Australia/Oceania
174,San Marino,23536,,122.0,,23276,,138,4,690509.0,3579.0,157634.0,4624732.0,34085.0,Europe
175,Timor-Leste,23418,,138.0,,23102,,178,,17101.0,101.0,278529.0,203391.0,1369429.0,Asia
176,Burkina Faso,22056,,396.0,,21596,,64,,998.0,18.0,248995.0,11265.0,22102838.0,Africa
177,Liechtenstein,21395,,89.0,,21281,,25,,557350.0,2318.0,112457.0,2929559.0,38387.0,Europe
178,Gibraltar,20420,,111.0,,16579,,3730,,605863.0,3293.0,534283.0,15852213.0,33704.0,Europe
179,Grenada,19680,,238.0,,19358,,84,4,173430.0,2097.0,182981.0,1612523.0,113475.0,North America
180,Bermuda,18799,,160.0,,18632,,7,,303508.0,2583.0,1027337.0,16586270.0,61939.0,North America
181,Nicaragua,18491,,225.0,,4225,,14041,,2728.0,33.0,,,6779100.0,North America
182,South Sudan,18368,,138.0,,18115,,115,1,1581.0,12.0,410280.0,35313.0,11618511.0,Africa
183,Tajikistan,17786,,125.0,,17264,,397,,1786.0,13.0,,,9957464.0,Asia
184,Equatorial Guinea,17229,,183.0,,16907,,139,5,11512.0,122.0,365697.0,244342.0,1496662.0,Africa
185,Tonga,16801,,13.0,,15638,,1150,,155927.0,121.0,535009.0,4965327.0,107749.0,Australia/Oceania
186,Samoa,16607,,29.0,,1605,,14973,,82116.0,143.0,187397.0,926612.0,202239.0,Australia/Oceania
187,Monaco,16106,,67.0,,15992,,47,4,404846.0,1684.0,78646.0,1976875.0,39783.0,Europe
188,Dominica,15760,,74.0,,15673,,13,,217848.0,1023.0,229344.0,3170187.0,72344.0,North America
189,Djibouti,15690,,189.0,,15427,,74,,15441.0,186.0,305941.0,301094.0,1016097.0,Africa
190,Marshall Islands,15598,,17.0,,15528,,53,,259720.0,283.0,,,60057.0,Australia/Oceania
191,CAR,15368,,113.0,,15200,,55,2,3063.0,23.0,81294.0,16205.0,5016678.0,Africa
192,Gambia,12586,,372.0,,12189,,25,,4919.0,145.0,155686.0,60851.0,2558482.0,Africa
193,Saint Martin,12257,,63.0,,1399,,10795,7,308507.0,1586.0,112382.0,2828643.0,39730.0,North America
194,Vanuatu,12014,,14.0,,11976,,24,,37330.0,44.0,24976.0,77606.0,321832.0,Australia/Oceania
195,Greenland,11971,,21.0,,2761,,9189,4,210117.0,369.0,164926.0,2894810.0,56973.0,North America
196,Yemen,11945,,2159.0,,9124,,662,23,383.0,69.0,329592.0,10579.0,31154867.0,Asia
197,Caribbean Netherlands,11668,,38.0,,10476,,1154,,437873.0,1426.0,30126.0,1130559.0,26647.0,North America
198,Sint Maarten,11016,,91.0,,10905,,20,N/A,250557.0,2070.0,62056.0,1411454.0,43966.0,North America
199,Eritrea,10189,,103.0,,10086,,0,,2782.0,28.0,23693.0,6470.0,3662244.0,Africa
200,Niger,9931,,312.0,,8890,,729,1,381.0,12.0,254538.0,9759.0,26083660.0,Africa
201,St. Vincent Grenadines,9589,,123.0,,9466,,0,,85961.0,1103.0,113703.0,1019292.0,111551.0,North America
202,Antigua and Barbuda,9106,,146.0,,8954,,6,1,91509.0,1467.0,18901.0,189943.0,99509.0,North America
203,Comoros,8998,,161.0,,8837,,0,,9916.0,177.0,,,907419.0,Africa
204,Guinea-Bissau,8953,,176.0,,8660,,117,6,4339.0,85.0,145231.0,70385.0,2063367.0,Africa
205,Liberia,8065,,294.0,,7768,,3,2,1520.0,55.0,139824.0,26356.0,5305117.0,Africa
206,Sierra Leone,7760,,126.0,,N/A,N/A,N/A,,934.0,15.0,259958.0,31296.0,8306436.0,Africa
207,Chad,7675,,194.0,,4874,,2607,,441.0,11.0,191341.0,10988.0,17413580.0,Africa
208,British Virgin Islands,7305,,64.0,,N/A,N/A,N/A,,238757.0,2092.0,107339.0,3508269.0,30596.0,North America
209,Cook Islands,7025,,2.0,,7012,,11,,399806.0,114.0,19690.0,1120596.0,17571.0,Australia/Oceania
210,Saint Kitts and Nevis,6596,,46.0,,6546,,4,,122441.0,854.0,126927.0,2356129.0,53871.0,North America
211,Turks and Caicos,6551,,38.0,,6491,,22,4,164842.0,956.0,611527.0,15387811.0,39741.0,North America
212,Sao Tome and Principe,6281,,77.0,,6203,,1,,27587.0,338.0,29036.0,127530.0,227679.0,Africa
213,Palau,5988,,9.0,,5976,,3,,328416.0,494.0,69136.0,3791806.0,18233.0,Australia/Oceania
214,St. Barth,5439,,6.0,,N/A,N/A,N/A,,546908.0,603.0,78646.0,7908095.0,9945.0,North America
215,Nauru,5247,,1.0,,5075,,171,,481244.0,92.0,20509.0,1881042.0,10903.0,Australia/Oceania
216,Kiribati,5013,,18.0,,2703,,2292,3,40618.0,146.0,,,123419.0,Australia/Oceania
217,Anguilla,3904,,12.0,,3879,,13,4,256336.0,788.0,51382.0,3373736.0,15230.0,North America
218,Macao,3513,,121.0,,3378,,14,,5263.0,181.0,7850.0,11760.0,667490.0,Asia
219,Saint Pierre Miquelon,3452,,2.0,,2449,,1001,1,599410.0,347.0,25400.0,4410488.0,5759.0,North America
220,Wallis and Futuna,3427,,7.0,,438,,2982,,312056.0,637.0,20508.0,1867419.0,10982.0,Australia/Oceania
221,Tuvalu,2805,,,,,,2805,,232471.0,,,,12066.0,Australia/Oceania
222,Saint Helena,2166,,,,2,,2164,,354211.0,,,,6115.0,Africa
223,Falkland Islands,1930,,,,1930,,0,,545352.0,,8632.0,2439107.0,3539.0,South America
224,Montserrat,1403,,8.0,,1376,,19,,282578.0,1611.0,17762.0,3577442.0,4965.0,North America
225,Niue,783,,,,752,,31,,482737.0,,,,1622.0,Australia/Oceania
226,Diamond Princess,712,,13.0,,699,,0,,,,,,,
227,Vatican City,29,,,,29,,0,,36295.0,,,,799.0,Europe
228,Western Sahara,10,,1.0,,9,,0,,16.0,2.0,,,626161.0,Africa
229,MS Zaandam,9,,2.0,,7,,0,,,,,,,
230,Tokelau,5,,,,,,5,,3628.0,,,,1378.0,Australia/Oceania
