,"Country, Other",Total Cases,Total Deaths,Total Recovered,Active Cases,"Serious, Critical",1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent
17,Iran,7573328,144956.0,7340279,88093,407,88039.0,1685.0,55353767.0,643478.0,86022837.0,Asia
18,Mexico,7492112,333243.0,6729945,428924,N/A,56947.0,2533.0,19642771.0,149303.0,131562772.0,North America
19,Indonesia,6740031,160956.0,6575541,3534,N/A,24146.0,577.0,114158919.0,408975.0,279134505.0,Asia
20,Poland,6462369,119072.0,5335940,1007357,696,171235.0,3155.0,38398766.0,1017461.0,37739785.0,Europe
21,Colombia,6360780,142639.0,6184346,33795,342,123480.0,2769.0,36951507.0,717327.0,51512762.0,South America
22,Austria,5981084,22002.0,5912126,46956,78,659675.0,2427.0,211273524.0,23302116.0,9066710.0,Europe
23,Greece,5896788,36283.0,5842412,18093,115,571580.0,3517.0,102228365.0,9909078.0,10316637.0,Europe
24,Portugal,5570473,26266.0,5540048,4159,61,549325.0,2590.0,46012446.0,4537462.0,10140570.0,Europe
25,Ukraine,5399231,111298.0,5278141,9792,,125005.0,2577.0,32603805.0,754855.0,43192122.0,Europe
26,Chile,5209152,64330.0,5135832,8990,88,270603.0,3342.0,48657289.0,2527626.0,19250195.0,South America
27,Malaysia,5045192,36967.0,4998845,9380,5,152050.0,1114.0,68309333.0,2058684.0,33181072.0,Asia
28,Israel,4806396,12341.0,4781252,12803,57,515376.0,1323.0,41373364.0,4436346.0,9326000.0,Asia
29,DPRK,4772813,74.0,4772739,0,,183636.0,3.0,,,25990679.0,Asia
30,Belgium,4739365,33814.0,4670274,35277,43,406175.0,2898.0,36797565.0,3153641.0,11668278.0,Europe
31,Thailand,4728304,33924.0,4692636,1744,N/A,67472.0,484.0,17270775.0,246450.0,70078203.0,Asia
32,Czechia,4623277,42528.0,4570916,9833,40,430602.0,3961.0,57059392.0,5314384.0,10736784.0,Europe
33,Canada,4609277,51624.0,4520959,36694,99,120069.0,1345.0,66343123.0,1728207.0,38388419.0,North America
34,Peru,4488338,219597.0,4266695,2046,36,133248.0,6519.0,38159985.0,1132875.0,33684208.0,South America
35,Switzerland,4392464,14452.0,4373995,4017,39,500643.0,1647.0,23833472.0,2716487.0,8773637.0,Europe
36,Philippines,4078231,66237.0,4002926,9068,162,36248.0,589.0,34711871.0,308525.0,112508994.0,Asia
37,South Africa,4068319,102595.0,3912506,53218,192,66961.0,1689.0,26795090.0,441027.0,60756135.0,Africa
38,Romania,3352356,67773.0,3272569,12014,117,176149.0,3561.0,26825878.0,1409564.0,19031335.0,Europe
39,Denmark,3176268,8322.0,3166948,998,19,544352.0,1426.0,129215497.0,22145091.0,5834950.0,Europe
40,Hong Kong,2884099,13472.0,2866168,4459,28,379272.0,1772.0,76127725.0,10011143.0,7604299.0,Asia
41,Sweden,2699339,23749.0,2672954,2636,8,264150.0,2324.0,19477620.0,1906026.0,10218971.0,Europe
42,Serbia,2504113,17900.0,2471811,14402,15,289392.0,2069.0,12502488.0,1444871.0,8653016.0,Europe
43,Iraq,2465545,25375.0,2439497,673,21,58474.0,602.0,19544451.0,463523.0,42164965.0,Asia
44,New Zealand,2239800,3944.0,2225733,10123,,457270.0,805.0,7768604.0,1586011.0,4898203.0,Australia/Oceania
45,Singapore,2234996,1722.0,2149583,83691,1,376037.0,290.0,24756666.0,4165302.0,5943546.0,Asia
46,Hungary,2196804,48762.0,2143788,4254,14,228685.0,5076.0,11394556.0,1186160.0,9606259.0,Europe
47,Bangladesh,2037871,29445.0,1998448,9978,N/A,12138.0,175.0,15254399.0,90862.0,167885689.0,Asia
48,Slovakia,1864353,21049.0,1841975,1329,25,341445.0,3855.0,7410858.0,1357252.0,5460193.0,Europe
49,Georgia,1827537,16971.0,1776548,34018,,460483.0,4276.0,16920079.0,4263340.0,3968738.0,Asia
50,Jordan,1746997,14122.0,1731007,1868,59,169597.0,1371.0,17201885.0,1669945.0,10300869.0,Asia
51,Ireland,1704502,8708.0,1693564,2230,8,339529.0,1735.0,13046725.0,2598846.0,5020199.0,Europe
52,Pakistan,1577785,30645.0,1538689,8451,11,6875.0,134.0,30570862.0,133213.0,229488994.0,Asia
53,Norway,1479746,5213.0,1473694,839,20,268490.0,946.0,11002430.0,1996315.0,5511370.0,Europe
54,Finland,1463644,8967.0,1452968,1709,21,263484.0,1614.0,12057338.0,2170554.0,5554960.0,Europe
55,Kazakhstan,1408124,13846.0,1383020,11258,24,73321.0,721.0,11575012.0,602707.0,19205043.0,Asia
56,Slovenia,1334089,7083.0,1321603,5403,4,641996.0,3409.0,2842626.0,1367940.0,2078034.0,Europe
57,Lithuania,1309661,9606.0,1293811,6244,5,492038.0,3609.0,10395483.0,3905569.0,2661708.0,Europe
58,Bulgaria,1298013,38232.0,1256916,2865,29,189641.0,5586.0,11085657.0,1619622.0,6844597.0,Europe
59,Morocco,1272526,16296.0,1256151,79,3,33689.0,431.0,12995267.0,344038.0,37772756.0,Africa
60,Croatia,1269687,18006.0,1251200,481,8,312786.0,4436.0,5530633.0,1362464.0,4059286.0,Europe
61,Guatemala,1239341,20182.0,1218185,974,5,66688.0,1086.0,7001015.0,376722.0,18584039.0,North America
62,Lebanon,1233151,10846.0,1087587,134718,74,184470.0,1622.0,4795578.0,717380.0,6684849.0,Asia
63,Costa Rica,1209725,9245.0,860711,339769,52,233432.0,1784.0,4659757.0,899158.0,5182354.0,North America
64,Bolivia,1194687,22367.0,1161621,10699,220,99618.0,1865.0,2705422.0,225590.0,11992656.0,South America
65,Tunisia,1151333,29345.0,N/A,N/A,44,95573.0,2436.0,5003956.0,415381.0,12046656.0,Africa
66,Cuba,1112667,8530.0,1104053,84,2,98417.0,754.0,14324663.0,1267036.0,11305652.0,North America
67,Ecuador,1057121,36014.0,1020564,543,759,58361.0,1988.0,3082403.0,170173.0,18113361.0,South America
68,UAE,1054008,2349.0,1036392,15267,,104546.0,233.0,199498197.0,19787984.0,10081785.0,Asia
69,Uruguay,1034303,7617.0,1026186,500,18,295852.0,2179.0,6114822.0,1749083.0,3496016.0,South America
70,Panama,1032237,8611.0,1022929,697,16,232122.0,1936.0,7563087.0,1700730.0,4446964.0,North America
71,Mongolia,1007900,2179.0,1005717,4,192,298365.0,645.0,4030048.0,1193000.0,3378078.0,Asia
72,Nepal,1001172,12020.0,989133,19,,33123.0,398.0,6015840.0,199031.0,30225582.0,Asia
73,Belarus,994037,7118.0,985592,1327,,105381.0,755.0,13646641.0,1446722.0,9432800.0,Europe
74,Latvia,976402,6257.0,969765,380,13,528117.0,3384.0,7867401.0,4255324.0,1848837.0,Europe
75,Saudi Arabia,830870,9623.0,817580,3667,46,23180.0,268.0,45199020.0,1260961.0,35844909.0,Asia
76,Azerbaijan,829011,10147.0,818638,226,,80485.0,985.0,7543617.0,732375.0,10300205.0,Asia
77,Paraguay,808507,19880.0,N/A,N/A,7,110666.0,2721.0,2657506.0,363751.0,7305843.0,South America
78,Bahrain,712094,1553.0,707851,2690,8,399160.0,871.0,10756636.0,6029562.0,1783983.0,Asia
79,Sri Lanka,672047,16831.0,655206,10,,31148.0,780.0,6486117.0,300619.0,21575842.0,Asia
80,Kuwait,663860,2570.0,660237,1053,,151555.0,587.0,8455743.0,1930391.0,4380326.0,Asia
81,Dominican Republic,660790,4384.0,644785,11621,4,59766.0,397.0,3740928.0,338350.0,11056370.0,North America
82,Cyprus,652386,1335.0,645696,5355,60,533262.0,1091.0,9640118.0,7879860.0,1223387.0,Asia
83,Myanmar,633965,19490.0,614457,18,,11479.0,353.0,10108854.0,183041.0,55227143.0,Asia
84,Palestine,621008,5404.0,615445,159,17,116173.0,1011.0,3078533.0,575907.0,5345541.0,Asia
85,Estonia,615735,2949.0,524990,87796,3,465792.0,2231.0,3682656.0,2785860.0,1321910.0,Europe
86,Moldova,613974,12025.0,504142,97807,49,152990.0,2996.0,3216305.0,801437.0,4013171.0,Europe
87,Venezuela,552225,5854.0,545981,390,31,18869.0,200.0,3359014.0,114771.0,29266991.0,South America
88,Egypt,515759,24613.0,442182,48964,122,4858.0,232.0,3693367.0,34792.0,106156692.0,Africa
89,Libya,507201,6437.0,500750,14,,72038.0,914.0,2483812.0,352777.0,7040745.0,Africa
90,China,503302,5272.0,379053,118977,N/A,347.0,4.0,160000000.0,110461.0,1448471400.0,Asia
91,Ethiopia,500188,7572.0,487386,5230,1,4140.0,63.0,5503146.0,45551.0,120812698.0,Africa
92,Qatar,495856,688.0,494555,613,23,166399.0,231.0,4065369.0,1364257.0,2979915.0,Asia
93,Réunion,486588,921.0,418572,67095,10,535854.0,1014.0,1603660.0,1766027.0,908061.0,Africa
94,Honduras,472340,11111.0,N/A,N/A,105,46212.0,1087.0,1640835.0,160532.0,10221247.0,North America
95,Armenia,447308,8727.0,435162,3419,,150509.0,2936.0,3242901.0,1091164.0,2971966.0,Asia
96,Bosnia and Herzegovina,401729,16280.0,379084,6365,,123635.0,5010.0,1884721.0,580036.0,3249317.0,Europe
97,Oman,399449,4628.0,384669,10152,2,75028.0,869.0,25000000.0,4695724.0,5323993.0,Asia
98,North Macedonia,346852,9662.0,337068,122,,166651.0,4642.0,2226216.0,1069626.0,2081304.0,Europe
99,Zambia,343271,4057.0,339079,135,,17631.0,208.0,3956227.0,203194.0,19470234.0,Africa
100,Kenya,342938,5688.0,337225,25,1,6100.0,101.0,3967062.0,70569.0,56215221.0,Africa
101,Albania,334523,3598.0,329228,1697,,116706.0,1255.0,1941032.0,677173.0,2866374.0,Europe
102,Botswana,329769,2801.0,326962,6,1,135087.0,1147.0,2026898.0,830300.0,2441162.0,Africa
103,Luxembourg,297757,1133.0,288991,7633,,463528.0,1764.0,4412567.0,6869188.0,642371.0,Europe
104,Montenegro,289069,2808.0,285610,651,6,460338.0,4472.0,2726002.0,4341113.0,627950.0,Europe
105,Brunei ,279661,225.0,243601,35835,3,627844.0,505.0,717784.0,1611437.0,445431.0,Asia
106,Algeria,271535,6881.0,182831,81823,,5988.0,152.0,230861.0,5091.0,45350148.0,Africa
107,Nigeria,266628,3155.0,259938,3535,11,1230.0,15.0,5708974.0,26339.0,216746934.0,Africa
108,Zimbabwe,264276,5671.0,258184,421,12,17238.0,370.0,2525756.0,164744.0,15331428.0,Africa
109,Uzbekistan,251247,1637.0,241486,8124,23,7307.0,48.0,1377915.0,40077.0,34382084.0,Asia
110,Mozambique,233214,2242.0,228805,2167,11,7048.0,68.0,1371127.0,41437.0,33089461.0,Africa
111,Martinique,229807,1098.0,N/A,N/A,12,614314.0,2935.0,828928.0,2215870.0,374087.0,North America
112,Laos,218024,758.0,N/A,N/A,,29144.0,101.0,1233207.0,164845.0,7481023.0,Asia
113,Afghanistan,209602,7896.0,191463,10243,45,5143.0,194.0,1207801.0,29636.0,40754388.0,Asia
114,Iceland,209168,229.0,N/A,N/A,2,605594.0,663.0,1996384.0,5780036.0,345393.0,Europe
115,Kyrgyzstan,206708,2991.0,196406,7311,131,30722.0,445.0,1907195.0,283460.0,6728271.0,Asia
116,Guadeloupe,201886,1010.0,N/A,N/A,19,504975.0,2526.0,938039.0,2346306.0,399794.0,North America
117,El Salvador,201785,4230.0,179410,18145,8,30805.0,646.0,2610114.0,398467.0,6550389.0,North America
118,Trinidad and Tobago,190285,4361.0,185714,210,8,135282.0,3100.0,902869.0,641887.0,1406585.0,North America
119,Maldives,185744,311.0,163687,21746,25,343344.0,575.0,2213831.0,4092223.0,540985.0,Asia
120,Ghana,171288,1462.0,169781,45,2,5287.0,45.0,2532076.0,78161.0,32395450.0,Africa
121,Namibia,171156,4090.0,166776,290,,64983.0,1553.0,1062663.0,403460.0,2633874.0,Africa
122,Uganda,170558,3630.0,100431,66497,3,3522.0,75.0,3012408.0,62198.0,48432863.0,Africa
123,Jamaica,154416,3514.0,102529,48373,,51729.0,1177.0,1183986.0,396633.0,2985094.0,North America
124,Cambodia,138720,3056.0,135661,3,,8080.0,178.0,3091420.0,180062.0,17168639.0,Asia
125,Rwanda,133194,1468.0,131647,79,,9793.0,108.0,6021981.0,442778.0,13600464.0,Africa
126,Cameroon,124605,1966.0,122434,205,13,4464.0,70.0,1751774.0,62762.0,27911548.0,Africa
127,Malta,117749,829.0,116248,672,4,265181.0,1867.0,2119315.0,4772877.0,444033.0,Europe
128,Barbados,106798,579.0,106211,8,,370797.0,2010.0,794426.0,2758203.0,288023.0,North America
129,Angola,105288,1933.0,103342,13,,3006.0,55.0,1499795.0,42818.0,35027343.0,Africa
130,Channel Islands,101530,228.0,101161,141,,575361.0,1292.0,1252808.0,7099551.0,176463.0,Europe
131,French Guiana,98041,420.0,11254,86367,6,312065.0,1337.0,651257.0,2072951.0,314169.0,South America
132,DRC,95815,1464.0,84379,9972,,1006.0,15.0,846704.0,8890.0,95240792.0,Africa
133,Senegal,88926,1971.0,86947,8,,5037.0,112.0,1146543.0,64946.0,17653671.0,Africa
134,Malawi,88707,2686.0,85583,438,67,4396.0,133.0,624784.0,30959.0,20180839.0,Africa
135,Ivory Coast,88286,834.0,87426,26,,3182.0,30.0,1682496.0,60647.0,27742298.0,Africa
136,Suriname,82467,1404.0,N/A,N/A,,138175.0,2352.0,241357.0,404398.0,596831.0,South America
137,New Caledonia,79881,314.0,79558,9,9,274585.0,1079.0,98964.0,340182.0,290915.0,Australia/Oceania
138,French Polynesia,78055,649.0,N/A,N/A,7,274683.0,2284.0,,,284164.0,Australia/Oceania
139,Eswatini,74323,1425.0,72824,74,,62730.0,1203.0,1048704.0,885119.0,1184817.0,Africa
140,Guyana,73093,1298.0,71782,13,,92051.0,1635.0,723506.0,911165.0,794045.0,South America
141,Belize,70782,688.0,70085,9,6,171722.0,1669.0,576016.0,1397453.0,412190.0,North America
142,Fiji,68898,883.0,67006,1009,,75757.0,971.0,669148.0,735759.0,909466.0,Australia/Oceania
143,Madagascar,67941,1423.0,66470,48,,2328.0,49.0,528012.0,18096.0,29178077.0,Africa
144,Sudan,63829,5017.0,58541,271,,1388.0,109.0,562941.0,12240.0,45992020.0,Africa
145,Mauritania,63668,997.0,62441,230,,12988.0,203.0,1009957.0,206030.0,4901981.0,Africa
146,Cabo Verde,63249,413.0,62780,56,23,111417.0,728.0,401622.0,707482.0,567678.0,Africa
147,Bhutan,62627,21.0,61564,1042,,79482.0,27.0,2303734.0,2923739.0,787941.0,Asia
148,Syria,57478,3164.0,54314,0,,2968.0,163.0,146269.0,7553.0,19364809.0,Asia
149,Burundi,53631,38.0,53569,24,,4248.0,3.0,345742.0,27386.0,12624840.0,Africa
150,Seychelles,50937,172.0,50750,15,,512311.0,1730.0,,,99426.0,Africa
151,Gabon,48981,306.0,48674,1,,21008.0,131.0,1621909.0,695641.0,2331533.0,Africa
152,Andorra,47890,165.0,47563,162,14,618231.0,2130.0,249838.0,3225256.0,77463.0,Europe
153,Papua New Guinea,46825,670.0,43982,2173,7,5039.0,72.0,249149.0,26813.0,9292169.0,Australia/Oceania
154,Curaçao,45986,295.0,44720,971,3,277812.0,1782.0,496693.0,3000640.0,165529.0,North America
155,Aruba,44044,236.0,42438,1370,2,409297.0,2193.0,177885.0,1653068.0,107609.0,North America
156,Tanzania,42906,846.0,N/A,N/A,7,678.0,13.0,,,63298550.0,Africa
157,Mayotte,42004,188.0,N/A,N/A,,146734.0,657.0,176919.0,618038.0,286259.0,Africa
158,Mauritius,41769,1043.0,40052,674,,32767.0,818.0,358675.0,281374.0,1274727.0,Africa
159,Togo,39408,290.0,39085,33,,4540.0,33.0,808985.0,93192.0,8680837.0,Africa
160,Guinea,38267,467.0,37757,43,8,2760.0,34.0,660107.0,47607.0,13865691.0,Africa
161,Isle of Man,38008,116.0,N/A,N/A,,443335.0,1353.0,150753.0,1758422.0,85732.0,Europe
162,Bahamas,37491,833.0,36366,292,1,93607.0,2080.0,257839.0,643767.0,400516.0,North America
163,Lesotho,34790,723.0,25980,8087,,15990.0,332.0,431221.0,198199.0,2175699.0,Africa
164,Faeroe Islands,34658,28.0,N/A,N/A,5,703959.0,569.0,778000.0,15802409.0,49233.0,Europe
165,Haiti,34202,860.0,33052,290,,2928.0,74.0,132422.0,11337.0,11680283.0,North America
166,Mali,33068,743.0,32224,101,,1540.0,35.0,798237.0,37173.0,21473764.0,Africa
167,Cayman Islands,31472,37.0,8553,22882,1,467797.0,550.0,222773.0,3311280.0,67277.0,North America
168,Saint Lucia,30004,409.0,29095,500,,162085.0,2209.0,210983.0,1139752.0,185113.0,North America
169,Benin,27999,163.0,27830,6,,2190.0,13.0,604310.0,47268.0,12784726.0,Africa
170,Somalia,27324,1361.0,13182,12781,,1622.0,81.0,400466.0,23778.0,16841795.0,Africa
171,Congo,25375,386.0,24006,983,,4377.0,67.0,347815.0,59991.0,5797805.0,Africa
172,Solomon Islands,24575,153.0,N/A,N/A,1,34077.0,212.0,,,721159.0,Australia/Oceania
173,Micronesia,23948,61.0,N/A,N/A,1,203832.0,519.0,54967.0,467848.0,117489.0,Australia/Oceania
174,San Marino,23663,122.0,23506,35,4,694235.0,3579.0,157634.0,4624732.0,34085.0,Europe
175,Timor-Leste,23419,138.0,23102,179,,17101.0,101.0,278529.0,203391.0,1369429.0,Asia
176,Burkina Faso,22056,396.0,21596,64,,998.0,18.0,248995.0,11265.0,22102838.0,Africa
177,Liechtenstein,21434,89.0,21339,6,4,558366.0,2318.0,112457.0,2929559.0,38387.0,Europe
178,Gibraltar,20462,111.0,16579,3772,,607109.0,3293.0,534283.0,15852213.0,33704.0,Europe
179,Grenada,19680,238.0,19358,84,4,173430.0,2097.0,182981.0,1612523.0,113475.0,North America
180,Bermuda,18828,160.0,18653,15,,303976.0,2583.0,1028312.0,16602012.0,61939.0,North America
181,Nicaragua,18491,225.0,4225,14041,,2728.0,33.0,,,6779100.0,North America
182,South Sudan,18368,138.0,18115,115,1,1581.0,12.0,410280.0,35313.0,11618511.0,Africa
183,Tajikistan,17786,125.0,17264,397,,1786.0,13.0,,,9957464.0,Asia
184,Equatorial Guinea,17229,183.0,16907,139,5,11512.0,122.0,365697.0,244342.0,1496662.0,Africa
185,Tonga,16810,13.0,15638,1159,,156011.0,121.0,535009.0,4965327.0,107749.0,Australia/Oceania
186,Samoa,16607,29.0,1605,14973,,82116.0,143.0,187397.0,926612.0,202239.0,Australia/Oceania
187,Monaco,16119,67.0,15992,60,4,405173.0,1684.0,78646.0,1976875.0,39783.0,Europe
188,Dominica,15760,74.0,15673,13,,217848.0,1023.0,229344.0,3170187.0,72344.0,North America
189,Djibouti,15690,189.0,15427,74,,15441.0,186.0,305941.0,301094.0,1016097.0,Africa
190,Marshall Islands,15649,17.0,15528,104,,260569.0,283.0,,,60057.0,Australia/Oceania
191,CAR,15368,113.0,15200,55,2,3063.0,23.0,81294.0,16205.0,5016678.0,Africa
192,Gambia,12598,372.0,12189,37,,4924.0,145.0,155686.0,60851.0,2558482.0,Africa
193,Saint Martin,12271,63.0,1399,10809,7,308860.0,1586.0,112382.0,2828643.0,39730.0,North America
194,Vanuatu,12014,14.0,11976,24,,37330.0,44.0,24976.0,77606.0,321832.0,Australia/Oceania
195,Greenland,11971,21.0,2761,9189,4,210117.0,369.0,164926.0,2894810.0,56973.0,North America
196,Yemen,11945,2159.0,9124,662,23,383.0,69.0,329592.0,10579.0,31154867.0,Asia
197,Caribbean Netherlands,11679,38.0,10476,1165,,438286.0,1426.0,30126.0,1130559.0,26647.0,North America
198,Sint Maarten,11020,91.0,10905,24,N/A,250648.0,2070.0,62056.0,1411454.0,43966.0,North America
199,Eritrea,10189,103.0,10086,0,,2782.0,28.0,23693.0,6470.0,3662244.0,Africa
200,Niger,9931,312.0,8890,729,1,381.0,12.0,254538.0,9759.0,26083660.0,Africa
201,St. Vincent Grenadines,9589,123.0,9466,0,,85961.0,1103.0,113703.0,1019292.0,111551.0,North America
202,Antigua and Barbuda,9106,146.0,8954,6,1,91509.0,1467.0,18901.0,189943.0,99509.0,North America
203,Comoros,9008,161.0,8838,9,,9927.0,177.0,,,907419.0,Africa
204,Guinea-Bissau,8960,176.0,8660,124,6,4342.0,85.0,145231.0,70385.0,2063367.0,Africa
205,Liberia,8090,295.0,7783,12,2,1525.0,56.0,139824.0,26356.0,5305117.0,Africa
206,Sierra Leone,7760,126.0,N/A,N/A,,934.0,15.0,259958.0,31296.0,8306436.0,Africa
207,Chad,7682,194.0,4874,2614,,441.0,11.0,191341.0,10988.0,17413580.0,Africa
208,British Virgin Islands,7305,64.0,N/A,N/A,,238757.0,2092.0,107339.0,3508269.0,30596.0,North America
209,Cook Islands,7033,2.0,7030,1,,400262.0,114.0,19690.0,1120596.0,17571.0,Australia/Oceania
210,Saint Kitts and Nevis,6597,47.0,6548,2,,122459.0,872.0,126932.0,2356221.0,53871.0,North America
211,Turks and Caicos,6561,38.0,6504,19,4,165094.0,956.0,612335.0,15408143.0,39741.0,North America
212,Sao Tome and Principe,6281,77.0,6204,0,,27587.0,338.0,29036.0,127530.0,227679.0,Africa
213,Palau,5994,9.0,5985,0,,328745.0,494.0,69272.0,3799265.0,18233.0,Australia/Oceania
214,St. Barth,5441,6.0,N/A,N/A,,547109.0,603.0,78646.0,7908095.0,9945.0,North America
215,Nauru,5393,1.0,5347,45,,494635.0,92.0,20509.0,1881042.0,10903.0,Australia/Oceania
216,Kiribati,5014,18.0,2703,2293,3,40626.0,146.0,,,123419.0,Australia/Oceania
217,Anguilla,3904,12.0,3879,13,4,256336.0,788.0,51382.0,3373736.0,15230.0,North America
218,Macao,3514,121.0,3392,1,,5264.0,181.0,7850.0,11760.0,667490.0,Asia
219,Saint Pierre Miquelon,3452,2.0,2449,1001,1,599410.0,347.0,25400.0,4410488.0,5759.0,North America
220,Wallis and Futuna,3427,7.0,438,2982,,312056.0,637.0,20508.0,1867419.0,10982.0,Australia/Oceania
221,Tuvalu,2805,,,2805,,232471.0,,,,12066.0,Australia/Oceania
222,Saint Helena,2166,,2,2164,,354211.0,,,,6115.0,Africa
223,Falkland Islands,1930,,1930,0,,545352.0,,8632.0,2439107.0,3539.0,South America
224,Montserrat,1403,8.0,1376,19,,282578.0,1611.0,17762.0,3577442.0,4965.0,North America
225,Niue,793,,791,2,,488903.0,,,,1622.0,Australia/Oceania
226,Diamond Princess,712,13.0,699,0,,,,,,,
227,Vatican City,29,,29,0,,36295.0,,,,799.0,Europe
228,Western Sahara,10,1.0,9,0,,16.0,2.0,,,626161.0,Africa
229,MS Zaandam,9,2.0,7,0,,,,,,,
230,Tokelau,5,,,5,,3628.0,,,,1378.0,Australia/Oceania
